Fecha,Materia,Nota,Padron
9-10-2018,Materia 3,8,107093
3-1-2019,Materia 3,6,100837
9-1-2019,Materia 5,2,104831
22-9-2013,Materia 5,7,101190
27-9-2019,Materia 3,6,107897
14-8-2015,Materia 4,4,108628
12-1-2013,Materia 1,2,102369
17-11-2012,Materia 3,5,105474
17-11-2013,Materia 4,8,102144
23-2-2015,Materia 4,5,104736
25-5-2019,Materia 5,2,106903
3-1-2013,Materia 5,9,101340
22-7-2011,Materia 5,2,102479
15-8-2019,Materia 4,7,103409
16-2-2012,Materia 4,6,105891
8-2-2019,Materia 2,3,101001
14-7-2015,Materia 5,9,106022
15-5-2014,Materia 3,7,103358
4-9-2013,Materia 4,3,107839
4-4-2019,Materia 3,2,104121
11-2-2013,Materia 3,3,103528
7-3-2013,Materia 2,7,107271
22-3-2018,Materia 2,7,104244
8-10-2018,Materia 2,7,105089
3-11-2012,Materia 1,4,101006
16-5-2011,Materia 1,3,105860
17-2-2011,Materia 3,4,100851
1-4-2016,Materia 1,9,104937
6-10-2010,Materia 5,6,105603
22-5-2013,Materia 1,4,100039
20-4-2019,Materia 2,8,100837
