fecha,id_caso,descripcion,estado_caso,categoria,latitud,longitud
2009-01-15,1,zgqxyyvvbprdrkp,1,3,40,51
2006-10-02,2,ipjbeacztwozrdnqe,3,8,12,59
2008-10-29,3,lyotnoxrvjlegymez,1,5,19,10
2007-09-19,4,vaxhkjvcovvoyvyxhpsh,1,6,98,100
2014-12-15,5,lzsxwnksoxjepcezhf,1,4,100,60
2008-05-10,6,mcjurrpipdekycqvfnpp,3,6,87,80
2013-10-15,7,lvsayjipwlbrzanlpq,3,6,11,28
2006-12-09,8,qvykyxmnkpmkqjfb,2,6,16,81
2001-07-18,9,gtvgkhwsfrsacln,3,4,8,38
2016-10-29,10,ugaqmiwxprrvlxmk,1,9,31,42
2019-09-22,11,cbhrmnhkxeuhslp,1,2,47,52
2002-08-12,12,wwxqkxaaqkjobmf,2,4,65,95
2019-10-14,13,hftselewouabysr,1,10,99,68
2017-09-02,14,tnnhtubwkjlououdpx,3,7,52,58
2002-06-12,15,vvzznjddhmjgvveceo,3,9,77,37
2012-04-12,16,cbdegzjvxtgrawr,2,2,52,39
2000-07-08,17,jrzqmcvlhtvhqqt,2,7,37,100
2008-11-13,18,eyqjddclcafrifzegf,1,3,28,4
2007-11-07,19,asiapoiomnaqiddmna,3,2,55,94
2003-07-07,20,cfxbaeahgwqrvbwnr,2,6,4,8
2018-02-24,21,cqetetpdvlgfecnpdy,3,10,14,8
2011-04-15,22,wxofybjnmtgzflsu,2,3,19,85
2019-08-21,23,vgqafiuyewlcsiqagjkv,2,10,73,20
2005-03-08,24,tnecgopvuxhfjqvrq,3,9,15,32
2000-01-27,25,vdjupizvbwiyvquli,1,9,10,61
2003-06-13,26,xczythruxrnpsebpmyd,2,7,72,60
2013-02-07,27,ayrfkhtafqcgfulsdca,1,2,34,54
2011-10-14,28,nexwllklwpogaywddta,2,2,38,80
2019-03-27,29,pkofqsytptmnjsipcxh,3,5,41,99
2012-05-08,30,mfsvfnvbjahlpiyf,1,4,44,61
2013-09-15,31,qrrhnclfmbtfyktxdx,1,7,21,85
2006-08-07,32,ihsmdtpzafjvuiom,3,7,55,33
2011-05-07,33,glauqghpqwhlvez,1,1,45,50
2013-09-04,34,bkqfhemmtcmhvjdfwqr,1,4,92,13
2012-04-01,35,dznguzzmmpvabdxlzn,2,8,6,46
2018-09-26,36,oekutzduswrnqknpe,1,2,80,3
2005-09-12,37,mlsjoeahrglqgttyxbm,1,4,9,9
2003-12-29,38,guxfcfgdjearfyftkj,3,5,26,2
2002-03-14,39,rmdofbnjzxmheldopt,2,6,2,48
2014-12-11,40,paaszfvpblcfakk,2,3,47,25
2015-05-19,41,jjkbbnygbbfolrjz,2,10,71,1
2008-12-14,42,krzeumemlwqmmpba,1,9,99,13
2018-12-09,43,emusbguusxmrngks,1,1,44,81
2015-03-28,44,gnlioxfvedkjsnsf,3,3,56,75
2015-05-16,45,tgxnbxfbjnnbnrspprw,2,7,7,75
2014-05-23,46,kuuowyvyhvfaknxmxv,3,10,48,84
2005-09-30,47,xbrrfyxppobdsminhyqe,1,8,7,50
2007-04-21,48,jjkzmvosscgjcsbcjsi,1,2,90,19
2010-05-17,49,tkbialjwxioiszdwrgr,3,1,92,17
2013-04-10,50,npylvuvjifenkbkqsx,1,9,67,45
2008-03-12,51,zbhamjszomzwzzzwuvu,2,4,20,23
2018-04-25,52,avytrotumokwbpzal,1,8,44,12
2014-09-12,53,uxzklpbiytglvzevui,3,1,93,67
2007-10-01,54,oikoljhridltwtmtgwd,2,7,23,59
2011-02-13,55,hthoekjanzchnrdxutc,3,1,57,14
2008-06-26,56,nnjoxjmaqiseovwxw,1,1,27,37
2009-08-04,57,mvfpmkpanzrupttwooz,1,2,10,61
2015-11-16,58,czfdgbhaqezvjhwpxij,3,7,71,5
2015-11-30,59,idogqheldofscbo,3,2,30,35
2012-11-09,60,zsbhruqnbojotbmflk,1,4,61,8
2018-12-24,61,ibinqcuhaeaslofxw,1,1,71,25
2017-07-14,62,ecvpphnuaiizozxvso,2,2,42,75
2018-08-06,63,zmljzzcvgctpjdof,3,4,51,61
2005-09-29,64,klmjwxcxaxjruasmf,2,8,26,97
2000-06-12,65,zxluqiymsorglxprzi,2,9,72,73
2015-09-08,66,bhyrbmexjynvspopocg,3,8,55,38
2005-06-19,67,dbdjtnmynquyxvz,1,1,84,92
2009-01-22,68,thdtcwvkthqnvpkwgvc,1,10,48,21
2000-11-19,69,zvyxcpihbzxlrxy,2,9,79,68
2008-10-29,70,ujdlpkgzxqlwprrrjj,1,4,56,92
2010-10-25,71,nztltwepuatvkxgmwrz,1,10,36,92
2003-01-26,72,dkuqiojopdblxrwn,2,8,13,47
2018-05-08,73,wnuuervfgnuknuluv,1,9,22,81
2015-07-13,74,pohawvdiwddwaimkxj,3,2,79,93
2008-08-10,75,hpcdgjvhzaqdrcm,2,6,86,34
2009-10-21,76,yhqbogpiqibpixuebdz,1,1,29,90
2005-01-21,77,agvolaasgdncrkwgb,2,3,22,68
2012-05-11,78,lcrgguldnpaknptxg,3,4,25,11
2018-01-04,79,hdufagdoutvcqwh,3,3,48,54
2002-06-27,80,jsstzhjgdtpbngqdgvf,1,1,21,35
2007-06-16,81,kvgwinqhwylnkrmoibuu,2,10,46,10
2000-07-04,82,wntslgfnfoyhddokkmxa,1,8,26,63
2003-05-01,83,kryicigavqtokro,1,1,12,47
2011-10-09,84,dwkzbcdxvnfdssazedvw,3,4,2,10
2011-09-01,85,mosoiyyokqemxuljzgy,3,9,92,71
2014-11-13,86,lisfcqozmmorrllsuy,3,1,44,11
2003-03-04,87,osuzxyryulrviixvuj,2,7,49,35
2019-10-15,88,nquhwzpjqluirmr,1,4,27,19
2015-12-07,89,ewylqifxaxppgtfeu,3,6,10,62
2007-12-17,90,oybtmvtiopagomewwh,2,2,42,75
2017-05-18,91,muuqtpdigxmlsitfqv,2,8,32,52
2017-04-01,92,orndzguyxzzgpzdnr,2,9,45,95
2010-10-17,93,hddnhawpulcqublnrfa,3,10,91,32
2010-06-11,94,kdpbrfrxnguaklco,1,9,35,99
2018-04-19,95,ejpxniwdyxmliiwng,2,4,69,4
2003-02-14,96,dtkvdghmagwkcyb,1,5,72,21
2017-06-16,97,vhozafzroowrpjk,1,2,64,76
2005-05-03,98,efdkexqioxrgpthtdk,3,10,64,59
2004-04-08,99,luywdmorvdvoyfvddl,2,3,14,27
2001-03-13,100,kznmhcqmjtrfkgybeq,1,4,63,8
2013-10-20,101,llsnoiurtzkxzwyeg,2,8,42,17
2012-07-10,102,esgodekicoazzmkbwew,3,10,17,78
2015-12-29,103,vuuamxbevqsqhzfrtpl,1,8,68,78
2017-09-20,104,abjhuzmfdavfnviwxtm,2,10,1,36
2018-10-02,105,vrrzpdvyssagmppomelt,3,5,23,25
2002-02-14,106,yjivsszshznpmjsk,3,1,15,56
2001-08-21,107,nrsajykkqgjqlwxfvc,1,8,41,77
2010-09-20,108,ralegmvgaobwthtabaui,2,5,34,88
2010-07-11,109,cocwempmsvytpadh,2,1,93,62
2007-10-17,110,dqyshbgnrhzjeujd,1,3,54,74
2015-08-22,111,adjbuckvifrixbzcvca,1,4,6,82
2000-02-01,112,ngarrfjrbjqazuxkm,3,4,66,1
2006-04-28,113,ruzubxiwjplcwmdeyfbc,1,3,55,37
2019-10-30,114,buibtcmbvkgqjos,2,7,15,84
2007-05-17,115,airyxqkrrxeggjylszcy,1,1,65,65
2005-10-02,116,uduejxfmrwoekkgkvqvm,2,1,90,96
2002-07-01,117,jtiazyikhgndskokhrkg,3,6,22,69
2017-10-25,118,merpxfjvuhbaftxvqyx,1,1,67,82
2007-08-21,119,rdkqbqhjyllkbgx,2,1,36,55
2002-05-10,120,sbbhgzvgcymcloeq,2,5,30,98
2002-11-23,121,macoqqtylilpevjrfawx,2,7,19,24
2010-01-28,122,quoupuevbztsxpzj,2,6,80,64
2018-02-12,123,bliarrpjwwxycfvm,1,6,85,99
2002-04-28,124,raskhmhaovgaoag,3,5,4,42
2013-06-08,125,eqalbzfradagriwxwn,2,7,43,29
2015-09-26,126,elpcftnlnkektxmxfaz,3,9,31,40
2002-10-25,127,airptfykxptlngdki,2,10,16,7
2019-03-20,128,spjlwvvuscntebqlqpms,3,2,41,1
2006-05-31,129,cyhrlxtwidqaipclik,3,2,60,83
2005-08-20,130,hcgssfallwxfuzp,1,10,97,100
2018-01-05,131,ccezrlqyintpnjolbb,1,5,70,85
2006-01-12,132,dgpahzyqczszesk,3,2,80,48
2013-11-15,133,hialvtesueqoalmyhty,3,4,45,18
2017-09-08,134,mhnpgbzsyijauxzlaj,1,3,7,71
