id_caso,respuesta
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,0
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,0
281,0
282,0
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,0
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,0
572,0
573,1
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,1
614,1
615,0
616,0
617,1
618,1
619,1
620,0
621,1
622,0
623,1
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,0
638,0
639,1
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,1
656,0
657,1
658,0
659,0
660,1
661,1
662,0
663,1
664,0
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,1
719,1
720,0
721,0
722,1
723,0
724,1
725,0
726,0
727,0
728,1
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,1
741,1
742,0
743,0
744,1
745,0
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,1
759,0
760,1
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,1
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,1
789,0
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,0
799,1
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,0
809,0
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,0
828,0
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,0
840,0
841,0
842,1
843,0
