id_producto,id_comprador,id_vendedor,pais,tiene_reclamo,anio,mes,precio_local
2,42,2,Martinique,0,2020,8,890
10,31,3,Guam,0,2019,12,602
13,16,20,Indonesia,1,2020,5,698
18,2,19,Bosnia and Herzegovina,0,2018,12,963
28,39,11,South Africa,1,2018,3,983
1,5,9,Djibouti,1,2018,9,816
2,19,18,Singapore,1,2019,11,258
20,4,3,Kenya,1,2018,2,492
13,10,18,Cyprus,1,2018,11,157
24,39,18,Trinidad and Tobago,1,2019,2,967
17,12,5,Dominican Republic,1,2018,1,914
15,18,10,Turks and Caicos Islands,0,2019,12,236
23,25,1,Mauritius,1,2020,8,112
10,39,7,Bosnia and Herzegovina,0,2019,11,513
10,27,1,Tuvalu,1,2018,5,156
8,25,15,Palau,0,2019,4,308
15,22,14,Bhutan,0,2018,9,989
28,6,10,Gabon,0,2018,6,906
13,46,12,Uganda,1,2019,5,152
4,33,20,Puerto Rico,1,2018,12,270
18,45,13,Cyprus,0,2019,5,951
23,42,17,Puerto Rico,1,2020,12,704
5,15,20,Guinea-Bissau,0,2020,6,348
1,30,15,Japan,0,2020,11,660
24,48,3,Costa Rica,1,2018,8,876
25,47,20,Ethiopia,0,2020,6,521
15,20,10,Viet Nam,0,2020,4,885
18,40,9,Luxembourg,0,2019,4,840
19,4,14,Romania,0,2019,6,762
28,29,18,Syrian Arab Republic,1,2018,1,670
23,8,11,Greece,0,2020,12,601
15,39,6,Hong Kong,0,2019,3,260
26,46,1,Tonga,1,2020,12,296
17,10,1,Myanmar,1,2020,9,502
27,46,20,AndorrA,0,2018,5,884
23,40,10,Palau,0,2018,3,362
7,10,8,Guatemala,0,2018,1,147
23,25,15,Spain,1,2018,5,103
18,34,1,Saint Lucia,1,2019,5,737
20,46,13,Saint Vincent and the Grenadines,1,2019,7,148
29,12,2,Central African Republic,1,2020,7,436
20,30,1,Chad,0,2018,8,814
2,7,5,Mexico,0,2019,11,687
6,16,16,New Zealand,1,2018,10,643
27,18,18,Azerbaijan,1,2019,3,882
19,9,8,Bosnia and Herzegovina,0,2018,5,323
13,25,1,Wallis and Futuna,0,2019,11,179
26,10,19,Cook Islands,1,2020,1,235
26,2,4,Denmark,1,2018,12,319
16,40,6,Romania,0,2020,5,118
6,7,14,Estonia,0,2019,12,239
29,10,1,Yemen,1,2018,10,423
6,39,9,Monaco,1,2020,6,384
11,39,13,Heard Island and Mcdonald Islands,1,2020,6,254
7,19,10,Madagascar,1,2020,5,675
24,8,2,Thailand,0,2018,1,152
23,45,16,Gambia,0,2019,9,986
11,21,5,Gambia,1,2020,10,509
15,3,5,Reunion,0,2020,5,429
9,42,1,"Moldova, Republic of",1,2019,3,415
24,48,4,Colombia,1,2019,2,216
26,47,17,Panama,0,2020,10,731
18,37,15,Senegal,1,2018,12,859
12,38,12,"Lao People""S Democratic Republic",1,2018,5,872
9,34,12,Norfolk Island,1,2018,7,682
19,33,7,Brunei Darussalam,0,2020,1,713
25,43,2,Reunion,0,2020,10,784
14,27,15,Tokelau,1,2019,9,482
27,31,9,Mayotte,0,2018,10,786
6,46,16,Afghanistan,0,2019,3,477
29,37,18,Czech Republic,1,2019,2,697
6,38,1,Bosnia and Herzegovina,1,2020,6,791
30,36,16,Brunei Darussalam,1,2019,2,728
22,30,20,Trinidad and Tobago,1,2020,5,433
15,20,7,Serbia and Montenegro,1,2020,2,983
1,42,20,Slovenia,0,2019,11,681
10,26,11,Dominican Republic,0,2018,2,676
4,8,18,Bosnia and Herzegovina,1,2018,4,728
6,44,7,Gambia,1,2018,7,385
19,1,13,Heard Island and Mcdonald Islands,0,2020,10,875
18,29,6,Colombia,0,2019,5,894
2,42,13,Cambodia,1,2019,5,829
26,13,5,AndorrA,0,2019,4,205
15,6,6,Netherlands,1,2019,1,985
19,12,14,Gambia,1,2019,8,470
5,1,13,Poland,0,2019,1,164
17,8,18,Comoros,0,2018,7,199
3,23,16,Monaco,1,2018,11,940
24,48,4,Italy,0,2019,1,652
24,41,8,Netherlands Antilles,1,2018,5,323
23,18,13,Bangladesh,1,2019,3,881
9,47,9,Solomon Islands,0,2019,6,715
24,48,19,Djibouti,1,2018,5,983
27,32,10,Zambia,1,2019,1,511
13,33,2,Romania,1,2018,3,811
6,8,18,Dominica,1,2020,5,448
16,41,5,Cuba,0,2020,6,651
14,50,4,Angola,0,2019,8,529
12,7,2,Aruba,1,2020,9,941
22,17,14,Switzerland,1,2019,4,437
27,12,12,French Southern Territories,1,2020,12,372
27,50,17,Chile,1,2018,2,322
6,5,9,Mozambique,0,2020,12,351
29,46,5,"Korea, Republic of",0,2018,8,786
5,34,17,Madagascar,0,2020,12,807
14,24,8,"Palestinian Territory, Occupied",1,2020,5,793
6,13,16,Latvia,1,2018,12,704
9,10,13,Bahamas,0,2018,2,654
21,21,12,Mali,1,2020,12,643
30,34,12,Malawi,1,2018,2,369
28,28,15,"Cote D""Ivoire",0,2020,12,804
20,16,10,Reunion,0,2018,9,489
8,34,14,Belize,1,2020,8,909
14,7,5,Algeria,1,2019,3,788
1,15,13,Aruba,0,2018,11,481
19,2,10,Greenland,0,2020,8,887
18,7,9,Malta,1,2018,12,136
5,7,5,United Arab Emirates,0,2018,11,211
4,35,9,American Samoa,0,2020,3,660
18,9,4,Norfolk Island,1,2018,7,355
29,39,1,Kyrgyzstan,0,2020,11,521
22,45,13,Saint Kitts and Nevis,1,2018,10,726
28,16,3,Myanmar,0,2019,8,663
11,28,15,Monaco,0,2020,3,642
11,3,6,United Kingdom,1,2019,8,727
4,17,6,Slovenia,0,2018,3,813
6,2,11,Viet Nam,1,2019,3,870
11,35,16,Iceland,1,2020,7,659
25,45,5,Puerto Rico,0,2020,6,202
14,47,3,Niger,1,2018,7,600
26,43,10,Norway,0,2018,12,697
20,30,6,Paraguay,1,2020,1,383
24,6,15,Bangladesh,0,2018,7,324
29,22,19,Turks and Caicos Islands,0,2018,11,447
22,16,3,Liechtenstein,1,2018,9,457
11,50,12,"Micronesia, Federated States of",1,2020,2,285
30,13,11,Greece,0,2020,5,674
25,45,16,Saint Vincent and the Grenadines,1,2018,7,117
28,9,11,Nepal,1,2019,10,981
16,11,7,Saint Vincent and the Grenadines,0,2019,10,484
3,24,7,New Zealand,0,2018,8,912
22,9,9,Congo,0,2018,4,320
16,17,10,Swaziland,0,2019,12,814
16,2,11,Eritrea,0,2018,9,508
30,41,20,Montserrat,1,2018,3,153
29,32,7,Czech Republic,1,2018,3,165
5,25,6,Sri Lanka,1,2020,2,474
19,19,20,Guernsey,1,2020,12,699
15,9,1,Saint Helena,1,2019,6,799
29,25,18,Central African Republic,0,2018,5,325
29,16,3,Qatar,1,2019,1,677
19,44,2,Faroe Islands,1,2020,8,985
11,44,2,Ethiopia,0,2020,3,772
3,23,11,Germany,0,2020,11,627
2,12,17,Ecuador,1,2020,1,617
29,45,12,Portugal,1,2018,9,853
12,14,19,Jersey,0,2018,4,720
6,5,19,South Georgia and the South Sandwich Islands,0,2019,7,460
7,25,7,Netherlands,1,2019,4,528
7,10,8,Iraq,1,2019,11,238
4,23,18,United Kingdom,0,2019,2,226
11,6,2,Norway,1,2020,3,806
13,29,9,Cayman Islands,1,2018,2,995
15,5,17,Kyrgyzstan,0,2019,5,699
21,2,14,Congo,1,2019,5,235
11,43,7,Kiribati,1,2019,2,396
20,44,11,Western Sahara,0,2020,4,334
19,20,6,Comoros,0,2019,10,228
26,23,2,"Taiwan, Province of China",0,2020,7,681
25,48,12,Italy,1,2018,3,221
19,40,14,Tuvalu,1,2018,7,624
1,30,7,Pitcairn,1,2018,9,588
8,22,16,Somalia,0,2019,1,288
4,25,15,Guinea-Bissau,1,2020,2,694
16,29,3,Cambodia,0,2018,11,182
13,17,10,Georgia,1,2018,2,294
2,45,6,Greenland,0,2018,9,522
15,24,16,Japan,0,2018,12,393
21,46,18,Dominica,1,2020,5,788
19,35,16,Guadeloupe,1,2018,7,400
22,30,8,Mali,0,2019,11,405
7,45,9,Congo,1,2018,7,957
28,28,20,Bhutan,1,2018,5,307
8,48,19,Czech Republic,0,2020,2,143
26,37,9,Bosnia and Herzegovina,1,2020,11,754
24,49,9,Bosnia and Herzegovina,1,2019,1,268
12,34,16,Saint Lucia,0,2019,7,280
29,32,12,Niger,0,2019,12,115
23,12,5,Gibraltar,0,2018,10,806
18,22,8,Gambia,1,2018,2,595
11,18,6,Belarus,0,2020,2,476
25,14,4,Brazil,1,2019,1,417
12,20,1,Western Sahara,0,2019,3,860
14,49,13,Puerto Rico,0,2020,12,676
29,1,11,United States Minor Outlying Islands,0,2020,6,804
6,36,6,"Lao People""S Democratic Republic",1,2020,5,935
29,2,14,Wallis and Futuna,1,2019,8,952
18,44,7,Montserrat,0,2020,1,345
4,50,7,Somalia,0,2019,8,537
17,11,7,Holy See (Vatican City State),0,2018,5,848
13,8,9,Greenland,0,2018,2,401
3,50,5,Canada,1,2018,7,298
14,13,7,Antigua and Barbuda,1,2018,4,621
15,8,3,RWANDA,0,2019,2,477
9,11,16,Sierra Leone,0,2018,6,907
2,34,11,Ecuador,1,2019,5,221
3,35,9,Vanuatu,1,2020,1,289
29,50,2,San Marino,0,2018,8,232
1,2,18,Viet Nam,1,2018,6,501
21,43,5,"Lao People""S Democratic Republic",0,2020,4,474
28,32,7,Zambia,0,2020,8,454
4,49,17,Israel,1,2020,1,591
23,31,16,AndorrA,1,2020,3,119
30,42,13,Germany,0,2020,3,758
7,45,13,Malawi,0,2020,3,518
13,10,17,Cuba,1,2020,7,964
11,25,10,Denmark,0,2019,12,744
5,21,12,Eritrea,1,2018,6,562
14,34,17,British Indian Ocean Territory,1,2019,11,305
7,48,11,"Moldova, Republic of",0,2018,4,113
10,20,17,"Palestinian Territory, Occupied",1,2019,5,433
27,8,7,Sao Tome and Principe,0,2019,10,279
28,47,20,Haiti,0,2020,4,946
7,13,8,Botswana,0,2018,10,763
14,27,1,Monaco,1,2020,3,425
14,17,4,Liberia,0,2020,1,863
1,25,2,"Palestinian Territory, Occupied",0,2020,2,952
14,6,19,"Moldova, Republic of",1,2018,8,917
1,9,13,Congo,0,2018,4,484
11,46,6,Bouvet Island,0,2018,4,696
8,45,20,Samoa,1,2020,10,950
4,27,5,Togo,0,2019,8,144
16,13,5,Tunisia,0,2018,8,888
30,23,4,Hungary,0,2020,3,610
3,36,5,Lesotho,1,2019,6,160
12,47,1,Trinidad and Tobago,0,2019,4,281
20,6,6,Nauru,0,2018,3,712
26,24,20,Seychelles,1,2018,9,332
7,20,15,Japan,0,2019,12,661
8,17,12,Congo,0,2018,9,488
16,34,1,Cambodia,0,2018,9,584
