1,AAR,BNJ5,BNJ5,2019-01-20,07:07:30,2019-08-16,23:08:36
2,EA,AM10,AM10,2019-03-27,19:11:43,2019-11-27,05:01:22
3,JA,L33K,BNJ5,2019-07-15,00:07:53,2019-01-21,20:10:55
4,AAR,AM10,PRKT,2019-01-08,08:07:31,2019-03-30,03:11:22
5,EA,L33K,L33K,2019-01-08,02:08:22,2019-12-29,01:08:45
6,JA,BNJ5,FG18,2019-06-27,09:04:54,2019-08-12,07:11:55
7,EA,FG18,AM10,2019-12-24,18:11:36,2019-09-27,09:06:00
8,JA,BNJ5,BNJ5,2019-02-10,10:01:35,2019-06-16,10:10:50
9,JA,PRKT,BNJ5,2019-08-10,20:07:10,2019-09-23,22:10:22
10,BA,L33K,BNJ5,2019-11-12,06:05:23,2019-12-04,11:03:30
11,AA,BNJ5,BNJ5,2019-06-11,18:12:05,2019-02-27,04:04:18
12,AAR,AM10,PRKT,2019-06-15,08:02:33,2019-08-20,03:01:21
13,AA,L33K,AM10,2019-03-03,04:08:54,2019-02-15,11:12:47
14,AA,L33K,L33K,2019-10-06,03:03:39,2019-08-10,10:09:32
15,JA,BNJ5,AM10,2019-09-24,15:07:18,2019-12-30,19:05:15
16,JA,PRKT,AM10,2019-12-30,08:06:13,2019-09-08,05:01:06
17,EA,BNJ5,L33K,2019-07-23,09:10:15,2019-05-29,07:12:51
18,EA,AM10,L33K,2019-12-08,04:05:40,2019-01-15,19:06:29
19,AA,PRKT,L33K,2019-11-09,16:04:55,2019-08-05,08:04:31
20,JA,FG18,BNJ5,2019-06-29,21:10:15,2019-01-29,15:07:36
21,EA,L33K,BNJ5,2019-11-25,00:09:59,2019-08-13,16:08:57
22,AA,L33K,L33K,2019-09-12,05:07:58,2019-08-28,07:10:28
23,AAR,PRKT,FG18,2019-06-28,20:08:39,2019-04-27,12:12:43
24,AAR,PRKT,BNJ5,2019-12-02,19:02:23,2019-08-28,23:03:53
25,BA,AM10,AM10,2019-12-01,21:12:29,2019-11-27,15:05:35
26,AAR,FG18,AM10,2019-06-24,06:07:53,2019-12-01,06:02:18
27,BA,AM10,L33K,2019-04-25,01:04:05,2019-10-22,02:01:04
28,BA,AM10,AM10,2019-11-12,23:07:43,2019-09-27,02:05:53
29,AA,FG18,FG18,2019-10-27,19:11:39,2019-11-05,15:01:48
30,AAR,FG18,L33K,2019-11-12,02:04:44,2019-06-16,06:01:06
31,EA,BNJ5,PRKT,2019-12-29,07:02:00,2019-09-30,07:05:47
32,AA,AM10,BNJ5,2019-08-11,17:07:49,2019-09-13,20:07:32
33,JA,L33K,AM10,2019-08-22,02:08:08,2019-11-12,13:10:39
34,JA,FG18,PRKT,2019-03-11,08:04:41,2019-05-20,09:10:06
35,JA,BNJ5,AM10,2019-03-22,01:02:01,2019-04-23,21:11:11
36,EA,PRKT,L33K,2019-04-11,01:05:07,2019-04-03,05:08:31
37,JA,FG18,L33K,2019-04-02,01:05:38,2019-09-29,22:11:12
38,AA,FG18,PRKT,2019-05-05,10:01:07,2019-11-24,10:02:36
39,AAR,AM10,AM10,2019-06-30,12:01:41,2019-03-25,18:01:50
40,AA,BNJ5,FG18,2019-02-11,09:06:52,2019-08-26,14:07:23
41,AA,L33K,BNJ5,2019-05-05,13:01:47,2019-06-09,23:02:32
42,AA,AM10,BNJ5,2019-03-08,15:04:32,2019-05-05,12:08:39
43,BA,BNJ5,FG18,2019-02-08,04:07:09,2019-03-08,23:11:03
44,AA,PRKT,PRKT,2019-07-13,04:01:52,2019-07-19,04:07:03
45,AAR,L33K,FG18,2019-01-31,00:05:34,2019-02-02,15:01:07
46,BA,AM10,L33K,2019-12-30,15:09:16,2019-08-09,21:04:30
47,AAR,AM10,AM10,2019-08-27,18:08:45,2019-09-24,19:02:54
48,AA,AM10,L33K,2019-06-28,13:12:32,2019-01-20,00:02:03
49,AAR,FG18,PRKT,2019-09-01,10:12:53,2019-12-26,11:08:49
50,BA,BNJ5,PRKT,2019-01-27,01:09:43,2019-04-08,00:05:43
